id,title,short_title,issuing_body,document_number,citation,authority_class,binding_status,jurisdiction,scope_note,official_url,alternate_urls,archive_url,publication_date,effective_date,last_amended_or_revised,date_accessed,last_verified,verified_by,verification_method,jurisdiction_confirmed_by,http_status,content_hash,superseded,superseding_authority,supersedes,related_authorities,update_frequency,watch_triggers,access_restrictions,copyright_note,reproduction_permitted,pin_cites,unresolved_issues,confidence,file_path,dependent_files,audit_source_ids,audit_provenance,audit_cluster,fetch_alive,source_origin,source_file,nonofficial_mirrors,verification_limit
guidance-mdhhs-ivd-child-support-manual,Michigan IV-D Child Support Manual,Michigan IV-D Child Support Manual,Michigan Supreme Court / State of Michigan,Michigan IV-D Child Support Manual,Michigan IV-D Child Support Manual,official_guidance,advisory_only,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://mdhhs-pres-prod.michigan.gov/ChildSupport/policy/,"[""https://mdhhs-pres-prod.michigan.gov/ChildSupport/policy/alphaTopics.asp"", ""https://www.michigan.gov/mdhhs/adult-child-serv/child-sup""]",,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch of landing and alpha topics,"Fetched policy landing, alphaTopics, and michigan.gov child support home 2026-08-09. Individual Documents/*.pdf mostly http_code_client_error; search snippets confirm section titles including 1.15 Family Violence, 2.15 Good Cause, 4.20 Support Recommendations.",MDHHS Michigan IV-D,200 landing; PDFs often error,4e7121f3220529c3f69d6b26f9b5faaa1358fdd8beccb916a00285503aceab39,unknown,unknown — verification required,[],"[""mdhhs-ocs-policy-landing""]",unknown,"[""Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.""]",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""Michigan IV-D Child Support Manual""]","[""Intro TOC and key section PDFs failed automated fetch — human must open from policy portal."", ""Current policy index verified; guidance does not replace an order.""]",high for portal; low for section PDF text,references/guidance/mdhhs-ivd-child-support-manual.md,"[""references/guidance/mdhhs-ivd-child-support-manual.md""]","[""mdhhs-ocs-policy-landing""]","family-court-source-ledger.json (deep research, 2026-08-09)",,,,,,
guidance-mdhhs-office-of-child-support-policy,MDHHS Office of Child Support Policy,MDHHS Office of Child Support Policy,Michigan Supreme Court / State of Michigan,MDHHS Office of Child Support Policy,MDHHS Office of Child Support Policy,official_guidance,advisory_only,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://mdhhs-pres-prod.michigan.gov/ChildSupport/policy/,"[""https://mdhhs-pres-prod.michigan.gov/ChildSupport/policy/alphaTopics.asp"", ""https://www.michigan.gov/mdhhs/adult-child-serv/child-sup""]",,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch of landing and alpha topics,"Fetched policy landing, alphaTopics, and michigan.gov child support home 2026-08-09. Individual Documents/*.pdf mostly http_code_client_error; search snippets confirm section titles including 1.15 Family Violence, 2.15 Good Cause, 4.20 Support Recommendations.",MDHHS Michigan IV-D,200 landing; PDFs often error,4e7121f3220529c3f69d6b26f9b5faaa1358fdd8beccb916a00285503aceab39,unknown,unknown — verification required,[],"[""mdhhs-ocs-policy-landing""]",unknown,"[""Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.""]",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""MDHHS Office of Child Support Policy""]","[""Intro TOC and key section PDFs failed automated fetch — human must open from policy portal."", ""Page reported current policy for Child Support Program.""]",high for portal; low for section PDF text,references/guidance/mdhhs-office-of-child-support-policy.md,"[""references/guidance/mdhhs-office-of-child-support-policy.md""]","[""mdhhs-ocs-policy-landing""]","family-court-source-ledger.json (deep research, 2026-08-09)",,,,,,
guidance-mji-child-protective-proceedings-benchbook,MJI Child Protective Proceedings Benchbook,MJI Child Protective Proceedings Benchbook,Michigan Supreme Court / State of Michigan,MJI Child Protective Proceedings Benchbook,MJI Child Protective Proceedings Benchbook,official_guidance,advisory_only,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/49bf88/siteassets/publications/benchbooks/cpp/cpp.pdf,"[""https://www.courts.michigan.gov/4aadda/siteassets/publications/benchbooks/cpp/cpp.pdf""]",,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,URL index; robots-blocked fetch,courts.michigan.gov path confirmed in search index 2026-08-09; content.fetch returned disallow_by_robots. Multiple hash prefixes observed for some PDFs.,MJI / courts.michigan.gov,disallow_by_robots,unavailable — primary text robots-blocked or unfetched in deep-research audit,unknown,unknown — verification required,[],"[""mji-cpp-bb""]",unknown,"[""Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.""]",free PDF (browser),MJI publication; brief quote with citation,quote-with-citation,"[""MJI Child Protective Proceedings Benchbook""]","[""Edition/revision stamp on cover not extracted this run."", ""Hash path multiplicity — prefer human navigation from MJI publications page."", ""CPS procedures may differ from domestic proceedings.""]",high URL family; low edition stamp/content,references/guidance/mji-child-protective-proceedings-benchbook.md,"[""references/guidance/mji-child-protective-proceedings-benchbook.md""]","[""mji-cpp-bb""]","family-court-source-ledger.json (deep research, 2026-08-09)",,,,,,"Primary text was not machine-readable in the deep-research audit. URL/source identity is verified as stated; do not treat current operative wording, pin-level text, or form footer as substantively verified until a human opens the official source."
guidance-mji-civil-proceedings-benchbook,MJI Civil Proceedings Benchbook,MJI Civil Proceedings Benchbook,Michigan Supreme Court / State of Michigan,MJI Civil Proceedings Benchbook,MJI Civil Proceedings Benchbook,official_guidance,advisory_only,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/4aef3b/siteassets/publications/benchbooks/civil/civilbb.pdf,"[""https://www.courts.michigan.gov/490820/siteassets/publications/benchbooks/civil/civilresponsivehtml5.zip/Civil/Ch_5_Discovery/Request_for_Admission.htm""]",,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,URL index; robots-blocked fetch,courts.michigan.gov path confirmed in search index 2026-08-09; content.fetch returned disallow_by_robots. Multiple hash prefixes observed for some PDFs.,MJI / courts.michigan.gov,disallow_by_robots,unavailable — primary text robots-blocked or unfetched in deep-research audit,unknown,unknown — verification required,[],"[""mji-civil-bb""]",unknown,"[""Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.""]",free PDF (browser),MJI publication; brief quote with citation,quote-with-citation,"[""MJI Civil Proceedings Benchbook""]","[""Edition/revision stamp on cover not extracted this run."", ""Hash path multiplicity — prefer human navigation from MJI publications page."", ""General civil discovery requires domestic-relations cross-check.""]",high URL family; low edition stamp/content,references/guidance/mji-civil-proceedings-benchbook.md,"[""references/guidance/mji-civil-proceedings-benchbook.md""]","[""mji-civil-bb""]","family-court-source-ledger.json (deep research, 2026-08-09)",,,,,,"Primary text was not machine-readable in the deep-research audit. URL/source identity is verified as stated; do not treat current operative wording, pin-level text, or form footer as substantively verified until a human opens the official source."
guidance-mji-contempt-resources,MJI Contempt Resources,MJI Contempt Resources,Michigan Supreme Court / State of Michigan,MJI Contempt Resources,MJI Contempt Resources,official_guidance,advisory_only,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/4aa855/siteassets/publications/benchbooks/qrms/contempt/contempt-of-court-flowchart.pdf,[],,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,URL index; robots-blocked fetch,courts.michigan.gov path confirmed in search index 2026-08-09; content.fetch returned disallow_by_robots. Multiple hash prefixes observed for some PDFs.,MJI / courts.michigan.gov,disallow_by_robots,unavailable — primary text robots-blocked or unfetched in deep-research audit,unknown,unknown — verification required,[],"[""mji-contempt-flowchart""]",unknown,"[""Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.""]",free PDF (browser),MJI publication; brief quote with citation,quote-with-citation,"[""MJI Contempt Resources""]","[""Edition/revision stamp on cover not extracted this run."", ""Hash path multiplicity — prefer human navigation from MJI publications page."", ""Jail exposure requires immediate counsel review.""]",high URL family; low edition stamp/content,references/guidance/mji-contempt-resources.md,"[""references/guidance/mji-contempt-resources.md""]","[""mji-contempt-flowchart""]","family-court-source-ledger.json (deep research, 2026-08-09)",,,,,,"Primary text was not machine-readable in the deep-research audit. URL/source identity is verified as stated; do not treat current operative wording, pin-level text, or form footer as substantively verified until a human opens the official source."
guidance-mji-domestic-relations-quick-reference,MJI Domestic Relations Quick Reference,MJI Domestic Relations Quick Reference,Michigan Supreme Court / State of Michigan,MJI Domestic Relations Quick Reference,MJI Domestic Relations Quick Reference,official_guidance,advisory_only,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/4ab386/siteassets/publications/benchbooks/qrms/family/domestic-relations/issuance-of-child-support-checklist.pdf,"[""https://www.courts.michigan.gov/4a5020/siteassets/publications/benchbooks/qrms/family/domestic-relations/det-or-mod-interstate-child-custody-dispute-(prelim-matters).pdf""]",,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,URL index; robots-blocked fetch,courts.michigan.gov path confirmed in search index 2026-08-09; content.fetch returned disallow_by_robots. Multiple hash prefixes observed for some PDFs.,MJI / courts.michigan.gov,disallow_by_robots,unavailable — primary text robots-blocked or unfetched in deep-research audit,unknown,unknown — verification required,[],"[""mji-dr-qrms""]",unknown,"[""Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.""]",free PDF (browser),MJI publication; brief quote with citation,quote-with-citation,"[""MJI Domestic Relations Quick Reference""]","[""Edition/revision stamp on cover not extracted this run."", ""Hash path multiplicity — prefer human navigation from MJI publications page."", ""Quick reference supports orientation only.""]",high URL family; low edition stamp/content,references/guidance/mji-domestic-relations-quick-reference.md,"[""references/guidance/mji-domestic-relations-quick-reference.md""]","[""mji-dr-qrms""]","family-court-source-ledger.json (deep research, 2026-08-09)",,,,,,"Primary text was not machine-readable in the deep-research audit. URL/source identity is verified as stated; do not treat current operative wording, pin-level text, or form footer as substantively verified until a human opens the official source."
guidance-mji-domestic-violence-benchbook,MJI Domestic Violence Benchbook,MJI Domestic Violence Benchbook,Michigan Supreme Court / State of Michigan,MJI Domestic Violence Benchbook,MJI Domestic Violence Benchbook,official_guidance,advisory_only,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/499b2f/siteassets/publications/benchbooks/dvbb/dvbb.pdf,"[""https://www.courts.michigan.gov/4ac59f/siteassets/publications/benchbooks/dvbb/dvbb.pdf""]",,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,URL index; robots-blocked fetch,courts.michigan.gov path confirmed in search index 2026-08-09; content.fetch returned disallow_by_robots. Multiple hash prefixes observed for some PDFs.,MJI / courts.michigan.gov,disallow_by_robots,unavailable — primary text robots-blocked or unfetched in deep-research audit,unknown,unknown — verification required,[],"[""mji-dv-bb""]",unknown,"[""Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.""]",free PDF (browser),MJI publication; brief quote with citation,quote-with-citation,"[""MJI Domestic Violence Benchbook""]","[""Edition/revision stamp on cover not extracted this run."", ""Hash path multiplicity — prefer human navigation from MJI publications page."", ""Use for context and citations; safety planning takes priority.""]",high URL family; low edition stamp/content,references/guidance/mji-domestic-violence-benchbook.md,"[""references/guidance/mji-domestic-violence-benchbook.md""]","[""mji-dv-bb""]","family-court-source-ledger.json (deep research, 2026-08-09)",,,,,,"Primary text was not machine-readable in the deep-research audit. URL/source identity is verified as stated; do not treat current operative wording, pin-level text, or form footer as substantively verified until a human opens the official source."
guidance-mji-evidence-benchbook,MJI Evidence Benchbook,MJI Evidence Benchbook,Michigan Supreme Court / State of Michigan,MJI Evidence Benchbook,MJI Evidence Benchbook,official_guidance,advisory_only,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/49dfe1/siteassets/publications/benchbooks/evidence/evidbb.pdf,"[""https://www.courts.michigan.gov/4a17ad/siteassets/publications/benchbooks/evidence/evidbb.pdf""]",,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,URL index; robots-blocked fetch,courts.michigan.gov path confirmed in search index 2026-08-09; content.fetch returned disallow_by_robots. Multiple hash prefixes observed for some PDFs.,MJI / courts.michigan.gov,disallow_by_robots,unavailable — primary text robots-blocked or unfetched in deep-research audit,unknown,unknown — verification required,[],"[""mji-evidence-bb""]",unknown,"[""Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.""]",free PDF (browser),MJI publication; brief quote with citation,quote-with-citation,"[""MJI Evidence Benchbook""]","[""Edition/revision stamp on cover not extracted this run."", ""Hash path multiplicity — prefer human navigation from MJI publications page."", ""Benchbook is guidance, not law. Use its cited primary authority and current MRE.""]",high URL family; low edition stamp/content,references/guidance/mji-evidence-benchbook.md,"[""references/guidance/mji-evidence-benchbook.md""]","[""mji-evidence-bb""]","family-court-source-ledger.json (deep research, 2026-08-09)",,,,,,"Primary text was not machine-readable in the deep-research audit. URL/source identity is verified as stated; do not treat current operative wording, pin-level text, or form footer as substantively verified until a human opens the official source."
guidance-mji-juvenile-and-probate-resources,MJI Juvenile and Probate Resources,MJI Juvenile and Probate Resources,Michigan Supreme Court / State of Michigan,MJI Juvenile and Probate Resources,MJI Juvenile and Probate Resources,official_guidance,advisory_only,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/4a1362/siteassets/publications/benchbooks/jjbb/jjbb.pdf,[],,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,URL index; robots-blocked fetch,courts.michigan.gov path confirmed in search index 2026-08-09; content.fetch returned disallow_by_robots. Multiple hash prefixes observed for some PDFs.,MJI / courts.michigan.gov,disallow_by_robots,unavailable — primary text robots-blocked or unfetched in deep-research audit,unknown,unknown — verification required,[],"[""mji-jj-bb""]",unknown,"[""Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.""]",free PDF (browser),MJI publication; brief quote with citation,quote-with-citation,"[""MJI Juvenile and Probate Resources""]","[""Edition/revision stamp on cover not extracted this run."", ""Hash path multiplicity — prefer human navigation from MJI publications page."", ""Juvenile/probate rules are not interchangeable with domestic rules.""]",high URL family; low edition stamp/content,references/guidance/mji-juvenile-and-probate-resources.md,"[""references/guidance/mji-juvenile-and-probate-resources.md""]","[""mji-jj-bb""]","family-court-source-ledger.json (deep research, 2026-08-09)",,,,,,"Primary text was not machine-readable in the deep-research audit. URL/source identity is verified as stated; do not treat current operative wording, pin-level text, or form footer as substantively verified until a human opens the official source."
guidance-scao-forms,SCAO Forms,SCAO Forms,Michigan Supreme Court / State of Michigan,SCAO Forms,SCAO Forms,official_form,informational,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://www.courts.michigan.gov/4a75b2/siteassets/forms/scao-approved/foc68.pdf,"[""https://www.courts.michigan.gov/forms/"", ""https://www.courts.michigan.gov/siteassets/forms/scao-approved/foc68.pdf"", ""https://www.courts.michigan.gov/siteassets/forms/scao-approved/instfoc68.pdf"", ""https://www.icle.org/contentfiles/scao/FOC68.pdf"", ""https://www.icle.org/contentfiles/scao/FOC72.pdf""]",,unknown — verification required,unknown — verification required,Seed: Rev. 3/21 — MUST confirm against official PDF face,2026-08-09,2026-08-09,official URL index + ICLE SCAO form mirror fetch,Official courts.michigan.gov FOC68.pdf path confirmed; robots-blocked. ICLE contentfiles/scao/FOC68.pdf fetched 2026-08-09 as nonofficial mirror.,SCAO form numbering FOC 68,official: disallow_by_robots; icle mirror: 200,unavailable — primary text robots-blocked or unfetched in deep-research audit,unknown,unknown — verification required,[],"[""foc-68-objection"", ""foc-72-records-access"", ""foc-124-dv-screening"", ""mc-20-fee-waiver""]",ad hoc SCAO revision,"[""Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice."", ""new Rev. code on form footer""]",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""SCAO Forms"", ""FOC 68""]","[""FORM REVISION DRIFT: seed says Rev. 3/21; confirm current official footer. Prefer courts.michigan.gov over ICLE mirror for filing."", ""Confirm current Rev. code on official PDF."", ""Full form instructions and confidentiality legend not extracted this run."", ""Confirm local Genesee FOC administration of FOC 124."", ""UNVERIFIED deep link and current Rev. code — MUST CONFIRM on SCAO forms site."", ""Check PDF revision date and official form number. Content hash changed across two build reads; page may be dynamic. Confirm document revision/current text before use.""]",high form identity; medium revision code without official PDF,references/guidance/scao-forms.md,"[""references/guidance/scao-forms.md"", ""templates/fee-waiver-request.md""]","[""foc-68-objection"", ""foc-72-records-access"", ""foc-124-dv-screening"", ""mc-20-fee-waiver""]","family-court-source-ledger.json (deep research, 2026-08-09)",,,,,,"Primary text was not machine-readable in the deep-research audit. URL/source identity is verified as stated; do not treat current operative wording, pin-level text, or form footer as substantively verified until a human opens the official source."
guidance-title-iv-d-federal,Federal Title IV-D,Federal Title IV-D,Michigan Supreme Court / State of Michigan,Federal Title IV-D,Federal Title IV-D,statute,informational,Michigan statewide,Educational reference; verify the cited authority and current local practice before relying on it.,https://uscode.house.gov/view.xhtml?path=/prelim@title42/chapter7/subchapter4/partD&edition=prelim,"[""https://www.govinfo.gov/content/pkg/USCODE-2023-title42/pdf/USCODE-2023-title42-chap7-subchapIV-partD.pdf"", ""https://www.law.cornell.edu/uscode/text/42/651""]",,unknown — verification required,unknown — verification required,unknown — verification required,2026-08-09,2026-08-09,direct fetch House OLRC view + LII 651,Fetched uscode.house.gov Part D view and Cornell 42 USC 651 on 2026-08-09.,U.S. Code,200,cde104766d86b353e87b9808de744eefd06a4cb7276c1d076a22d97bc1621290,unknown,unknown — verification required,[],"[""title-iv-d-federal""]",unknown,"[""Michigan Supreme Court rule order, legislation, revised form, local administrative order, judge assignment, or clerk notice.""]",free,Use short quotations with citation; do not reproduce protected material beyond lawful fair use.,quote-with-citation,"[""Federal Title IV-D"", ""42 USC 651 et seq.""]","[""Federal program source; cross-check current code.""]",high,references/guidance/title-iv-d-federal.md,"[""references/guidance/title-iv-d-federal.md""]","[""title-iv-d-federal""]","family-court-source-ledger.json (deep research, 2026-08-09)",,,,,,
icle-family-law-benchbook,"Michigan Family Law Benchbook, Second Edition (ICLE)",ICLE Family Law Benchbook,Institute of Continuing Legal Education,ICLE product (2d ed.),"ICLE, Michigan Family Law Benchbook (2d ed.)",secondary,informational,Michigan,"SUBSCRIPTION / PAID. Cite-only. Do not reproduce, paraphrase at length, or bundle.",https://icle.org/books/mflb/,"[""https://www.icle.org/modules/store/books/book.aspx?PRODUCT_CODE=2006553550""]",,,,,2026-08-09,2026-08-09,direct fetch of product landing pages,Fetched icle.org/books/mflb/ and store product page 2026-08-09; subscription product signals confirmed.,ICLE Michigan family law product,200,unavailable — see audit verification method,unknown,,[],[],unknown,[],subscription,ICLE copyright; paid product,cite-only,[],"[""No free full text; judges may have chambers copies unavailable to pro se users.""]",high for access restriction and title,,"[""references/guidance/icle-family-law-benchbook-cite-only.md"", ""references/audit/deep-research-source-audit-2026-08-09.md""]",,,subscription,True,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
icle-mcdowell-qa,"Q&A with Judge Anthony J. McDowell, 7th Circuit Court (ICLE community, May 18, 2026)",ICLE McDowell Q&A,ICLE community / Hon. Anthony J. McDowell,,,secondary,informational,7th Circuit Genesee (secondary interview),Secondary source: confirms McDowell on 7th Circuit bench; policies on court website. Not LAO.,https://community.icle.org/blogs/lindsey-a-dicesare/2026/05/18/qa-with-judge-anthony-j-mcdowell-7th-circuit-court,[],,2026-05-18,,,2026-08-09,2026-08-09,direct fetch,Fetched 2026-08-09.,Names 7th Circuit Court Genesee context,200,unavailable — see audit verification method,unknown,,[],"[""genesee-bench-roster-composite-2026""]",unknown,[],free community post,,cite-only,[],"[""McDowell official policies PDF URL not successfully fetched (robots on 7thcircuitcourt.com).""]",high as secondary roster/practice pointer,,"[""references/audit/deep-research-source-audit-2026-08-09.md""]",,,secondary,True,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
icle-mcsf-2025-blog,"2025 Michigan Child Support Formula Effective January 1, 2025 (ICLE blog)",ICLE MCSF 2025 blog,ICLE community,,,secondary,informational,Michigan,,https://community.icle.org/blogs/lindsey-a-dicesare/2024/09/30/2025-michigan-child-support-formula-effective-janu,[],,2024-09-30,,,2026-08-09,2026-08-09,direct fetch,Fetched 2026-08-09; corroborates MCSF 2025 effective date.,ICLE Michigan,200,unavailable — see audit verification method,unknown,,[],"[""mcsf-2025-manual"", ""mcsf-2025-supplement""]",unknown,[],free community post,,cite-only,[],[],high as secondary date corroboration,,"[""references/audit/deep-research-source-audit-2026-08-09.md""]",,,secondary,True,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
icle-mre-amendments-blog,"A Closer Look at the MRE Amendments Effective January 1, 2024 (ICLE community)",ICLE MRE restyle blog,ICLE (secondary commentary),,,secondary,informational,Michigan (commentary),Secondary explanation of restyling; cite-only; do not treat as rule text.,https://community.icle.org/blogs/rebekah-page-gourley/2023/10/24/closer-look-at-mre-amendments,[],,,,,2026-08-09,2026-08-09,direct fetch,Fetched 2026-08-09.,ICLE Michigan practice commentary,200,unavailable — see audit verification method,unknown,,[],"[""mre-consolidated"", ""mre-restyle-order-2021-10""]",unknown,[],free community post,,cite-only,[],[],high as secondary pointer,,"[""references/audit/deep-research-source-audit-2026-08-09.md""]",,,secondary,True,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
icwa-25-usc-1901,Indian Child Welfare Act,ICWA,United States Congress,25 USC 1901 et seq.,25 U.S.C. §§ 1901 et seq.,statute,binding_if_applicable,federal (Indian child),,,"[""https://uscode.house.gov/""]",,,,,2026-08-09,2026-08-09,direct fetch LII,Fetched Cornell LII 25 USC 1901 page 2026-08-09.,U.S. Code title 25,200,unavailable — see audit verification method,unknown,,[],"[""mifpa""]",unknown,[],free,,quote-with-citation,"[""25 USC 1901 et seq.""]","[""No official primary deep link was verified in this audit; retained mirror is nonofficial and not a substitute for current primary text."", ""official_url is null because a current official deep link was not verified; use the listed official landing page and verify before reliance.""]",high,,"[""references/michigan/icwa-mifpa.md"", ""references/audit/deep-research-source-audit-2026-08-09.md""]",,,federal,True,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,"[""https://www.law.cornell.edu/uscode/text/25/1901""]",
mc-20-fee-waiver,MC 20 Fee Waiver Request (cataloged),MC 20,SCAO,MC 20,MC 20,official_form,binding_if_applicable,Michigan statewide,Fee waiver form referenced in master prompt. Official deep link not verified this run.,https://www.courts.michigan.gov/courtforms/,[],,,,,2026-08-09,2026-08-09,SCAO forms landing path; robots-blocked,Forms landing disallow_by_robots; MC 20 not individually fetched.,SCAO MC form series,disallow_by_robots,unavailable — see audit verification method,unknown,,[],[],unknown,[],free,,quote-with-citation,[],"[""UNVERIFIED deep link and current Rev. code — MUST CONFIRM on SCAO forms site.""]",low for URL/revision; high that form series exists,,"[""references/guidance/scao-forms.md"", ""references/audit/deep-research-source-audit-2026-08-09.md"", ""references/audit/audit-form-and-supplement-drift.md""]",,,forms,False,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
mcl-552-507-referee-review,MCL 552.507 Judicial review of referee recommendation,MCL 552.507,Michigan Legislature,MCL 552.507,MCL 552.507,statute,binding,Michigan statewide,Statutory judicial review of FOC referee recommendations; pairs with MCR 3.215 de novo framework.,https://www.legislature.mi.gov/Laws/MCL?objectName=MCL-552-507,"[""https://codes.findlaw.com/mi/chapter-552-divorce/mi-comp-laws-552-507/"", ""https://law.justia.com/codes/michigan/2014/chapter-552/statute-act-294-of-1982/section-552.507/""]",,,,,2026-08-09,2026-08-09,FindLaw + Justia mirror fetches,Official legislature blocked; FindLaw MCL 552.507 and Justia 2014 section page fetched 2026-08-09.,MCL 552 within FOC Act,mirrors 200,unavailable — see audit verification method,unknown,,[],"[""mcr-3-215-referee-hearings"", ""foc-68-objection""]",unknown,[],free,,quote-with-citation,"[""MCL 552.507"", ""MCL 552.507a""]","[""Justia 2014 path may be stale — cross-check legislature for post-2014 amendments before quoting.""]",medium-high,,"[""references/caselaw/referee-de-novo-review.md"", ""references/genesee/objection-to-referee-recommendation.md"", ""references/michigan/foc-act.md"", ""references/audit/deep-research-source-audit-2026-08-09.md""]",,,statutes,True,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
mcr-1-109-pii,MCR 1.109 Court Records; PPII,MCR 1.109,Michigan Supreme Court,MCR 1.109,MCR 1.109,court_rule,binding,Michigan statewide,See MCR current compilation. Pin focus: MCR 1.109(D)(9).,https://www.courts.michigan.gov/rules-administrative-orders-and-jury-instructions/current-court-rules/,[],,,,,2026-08-09,2026-08-09,catalog under robots-blocked official compilation,Standard MCR identity; full subdivision text not machine-extracted 2026-08-09 due to courts.michigan.gov robots.,Michigan Court Rules,disallow_by_robots,unavailable — see audit verification method,unknown,,[],[],unknown,[],free,,quote-with-citation,"[""MCR 1.109(D)(9)""]","[""Full current text not fetched — human must open official MCR before quoting deadlines/subdivisions.""]",high identity; low automated text verification,,"[""references/audit/deep-research-source-audit-2026-08-09.md""]",,,rules,False,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
mcr-2-119-motion-practice,MCR 2.119 Motion Practice,MCR 2.119,Michigan Supreme Court,MCR 2.119,MCR 2.119,court_rule,binding,Michigan statewide,"See MCR current compilation. Pin focus: MCR 2.119(A)(2), MCR 2.119(C)(4), MCR 2.119(F).",https://www.courts.michigan.gov/rules-administrative-orders-and-jury-instructions/current-court-rules/,[],,,,,2026-08-09,2026-08-09,catalog under robots-blocked official compilation,Standard MCR identity; full subdivision text not machine-extracted 2026-08-09 due to courts.michigan.gov robots.,Michigan Court Rules,disallow_by_robots,unavailable — see audit verification method,unknown,,[],"[""scao-lcr-circuit-courts"", ""genesee-notice-motion-practice""]",unknown,[],free,,quote-with-citation,"[""MCR 2.119(A)(2)"", ""MCR 2.119(C)(4)"", ""MCR 2.119(F)""]","[""Full current text not fetched — human must open official MCR before quoting deadlines/subdivisions.""]",high identity; low automated text verification,,"[""references/michigan/mcr-motion-practice.md"", ""references/audit/deep-research-source-audit-2026-08-09.md"", ""references/audit/audit-primary-text-access-limits.md""]",,,rules,False,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
mcr-2-310-rfp,MCR 2.310 Requests for Production,MCR 2.310,Michigan Supreme Court,MCR 2.310,MCR 2.310,court_rule,binding,Michigan statewide,See MCR current compilation. Pin focus: MCR 2.310.,https://www.courts.michigan.gov/rules-administrative-orders-and-jury-instructions/current-court-rules/,[],,,,,2026-08-09,2026-08-09,catalog under robots-blocked official compilation,Standard MCR identity; full subdivision text not machine-extracted 2026-08-09 due to courts.michigan.gov robots.,Michigan Court Rules,disallow_by_robots,unavailable — see audit verification method,unknown,,[],"[""mcr-2-313-compel""]",unknown,[],free,,quote-with-citation,"[""MCR 2.310""]","[""Full current text not fetched — human must open official MCR before quoting deadlines/subdivisions.""]",high identity; low automated text verification,,"[""references/michigan/mcr-2-310-rfp.md"", ""references/audit/deep-research-source-audit-2026-08-09.md""]",,,rules,False,deep-research audit 2026-08-09,references/audit/deep-research-source-ledger-2026-08-09.json,,
